fid,multimodality,global_structure,separability,variable_scaling,homogeneity,basin_sizes,global_to_local,funnel_structure,plateau
1,none,none,high,none,high,none,none,yes,none
2,none,none,high,high,high,none,none,yes,none
3,high,strong,high,low,high,low,yes,yes,none
4,high,strong,high,low,high,medium,yes,yes,none
5,none,none,high,none,high,none,none,yes,none
6,none,none,none,low,medium,none,none,yes,none
7,none,none,none,low,high,none,none,yes,yes
8,low,none,none,none,medium,low,yes,yes,none
9,low,none,none,none,medium,low,yes,yes,none
10,none,none,none,high,high,none,none,yes,none
11,none,none,none,high,high,none,none,yes,none
12,none,none,none,high,high,none,none,yes,none
13,none,none,none,low,medium,none,none,yes,none
14,none,none,none,low,medium,none,none,yes,none
15,high,strong,none,low,high,low,yes,yes,none
16,high,medium,none,medium,high,medium,yes,none,none
17,high,medium,none,low,medium,medium,yes,yes,none
18,high,medium,none,high,medium,medium,yes,yes,none
19,high,strong,none,none,high,low,yes,yes,none
20,medium,deceptive,none,none,high,low,yes,yes,none
21,medium,none,none,medium,high,medium,yes,none,none
22,low,none,none,medium,high,medium,yes,none,none
23,high,none,none,none,high,low,yes,none,none
24,high,weak,none,low,high,low,yes,yes,none